ExptNo_norm,Tsub,x,G_kg_m2s,PM_noF1_old86,PM_F1_old86,Tsub_F1,x_F1,G_kg_m2s_F1,x_le_005,in_current187
52.01,14.391786013197,0.061,3403.56,0.361616795915297,1.07109227702067,14.391786013197,0.061,3403.56,False,False
53.01,6.11973609892596,0.079,3403.56,0.205876380506236,1.04868274053966,6.11973609892596,0.079,3403.56,False,False
54.01,6.68922694467403,0.075,3403.56,0.22501937271263,1.06039345056342,6.68922694467403,0.075,3403.56,False,False
55.01,12.72029044755,0.107,3403.56,0.261562374428359,0.824529600211787,12.72029044755,0.107,3403.56,False,False
56.01,14.942634646711,0.093,3444.24,0.307624405511698,0.868398682352528,14.942634646711,0.093,3444.24,False,False
57.01,15.496278620101,0.092,3444.24,0.313513017005973,0.870481135238737,15.496278620101,0.092,3444.24,False,False
58.01,11.6449695839671,0.073,3444.24,0.307070793620895,1.00014458166216,11.6449695839671,0.073,3444.24,False,False
59.01,12.181147826038,0.072,3444.24,0.313227814616772,1.0103869401442,12.181147826038,0.072,3444.24,False,False
60.01,12.72029044755,0.068,3444.24,0.326267275236102,1.03506711716111,12.72029044755,0.068,3444.24,False,False
61.01,22.738171226726,0.077,3484.92,0.393758113262224,0.906147412991363,22.738171226726,0.077,3484.92,False,False
62.01,23.839287782165,0.07,3484.92,0.411565430810558,0.935888816009227,23.839287782165,0.07,3484.92,False,False
63.01,24.392929823915,0.069,3484.92,0.419509270807281,0.9366661136033,24.392929823915,0.069,3484.92,False,False
64.01,23.839287782165,0.065,3525.6,0.418183893762401,0.960817807757047,23.839287782165,0.065,3525.6,False,False
65.01,7.26303614819903,0.096,3634.08,0.195668699105328,0.884593115286311,7.26303614819903,0.096,3634.08,False,False
66.01,7.26303614819903,0.105,3634.08,0.183688982833573,0.830434353125925,7.26303614819903,0.105,3634.08,False,False
67.01,7.84110456490703,0.102,3674.76,0.196884735119335,0.837389723584011,7.84110456490703,0.102,3674.76,False,False
68.01,11.111790695305,0.092,3715.44,0.258382257288025,0.883659825768546,11.111790695305,0.092,3715.44,False,False
69.01,12.72029044755,0.074,3905.28,0.308602807548655,0.965957111447195,12.72029044755,0.074,3905.28,False,False
70.01,13.298604532476,0.076,3945.96,0.308333953112992,0.933894551237237,13.298604532476,0.076,3945.96,False,False
72.01,13.843765034719,0.073,3986.64,0.318942659981235,0.937809681765032,13.843765034719,0.073,3986.64,False,False
73.01,10.581646687584,0.081,4013.76,0.266018078027003,0.931917297498623,10.581646687584,0.081,4013.76,False,False
74.01,9.53060825241903,0.091,4068.0,0.232500314165595,0.863677588896023,9.53060825241903,0.091,4068.0,False,False
75.01,10.054573651783,0.087,4068.0,0.244399920554006,0.88348436819199,10.054573651783,0.087,4068.0,False,False
76.01,11.111790695305,0.086,4068.0,0.264775657253476,0.893763804488697,11.111790695305,0.086,4068.0,False,False
9.01,108.669709244323,-0.05,2440.8,1.02352339857881,1.15999382358089,108.669709244323,-0.05,2440.8,True,True
