No_TableNo,ExptNo,ExptNo_norm,PM,Tsub,x,G_kg_m2s,G_Mlb_ft2h,LD,old86_member,policy_class,high_PM,deep_subcooled,scope_A_Gle4200,scope_B_Gle4200_LDge40,scope_C_B_xgtm020,scope_D_old86like_lowX,q_M_MWm2_result,q_P_MWm2,dq_ratio_pct_result,log_message,x_band,LD_band,pred_Tsub_poly1,resid_Tsub_poly1,pred_Tsub_poly2,resid_Tsub_poly2,pred_Tsub_poly3,resid_Tsub_poly3,pred_Tsub_saturation,resid_Tsub_saturation,pred_Tsub_saturation_plus_logLD,resid_Tsub_saturation_plus_logLD,pred_Tsub_saturation_plus_x_DIAG_ONLY,resid_Tsub_saturation_plus_x_DIAG_ONLY,pred_Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,resid_Tsub_saturation_plus_logLD_plus_x_DIAG_ONLY,pred_Tsub_saturation_plus_xband_DIAG_ONLY,resid_Tsub_saturation_plus_xband_DIAG_ONLY
152.01_10,152.01,152.01,1.058930953874542,70.35448789359657,0.049,644.20925,0.475,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,1.1009519099999998,1.1658320562262987,0.1730496372109256,収束 (|dq_ratio|<1%)  (f_solver=0),0<x<=0.05,40<=LD<70,1.1060286375852881,-0.047097683710746185,0.990812179176142,0.0681187746984,0.9936359070479415,0.06529504682660048,1.0399033280481371,0.019027625826404826,1.0314057026778223,0.02752525119671967,0.9089170947102276,0.1500138591643143,0.9036772076413687,0.15525374623317323,0.9722051442876551,0.0867258095868868
154.01_10,154.01,154.01,1.853006511199896,276.16725943459306,-0.189,782.54471,0.577,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,5.962385326369401,-0.0650957104218938,収束 (|dq_ratio|<1%)  (f_solver=0),-0.20<x<=-0.10,40<=LD<70,1.8877379788050592,-0.034731467605163324,1.8338877247343484,0.019118786465547544,1.8207532314677888,0.03225327973210712,1.8053317816804397,0.04767472951945617,2.035117978910852,-0.1821114677109561,1.86383299683917,-0.01082648563927413,1.8375992608702507,0.015407250329645183,1.7740711326229528,0.0789353785769431
16.01_10,16.01,16.01,1.1730140094852546,80.4334779483512,-0.027,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,4.164058799999999,4.884499308720358,0.0653706673227114,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.1443102302040118,0.02870377928124279,1.1072170101090908,0.06579699937616379,1.112611041701847,0.06040296778340748,1.1571507126497886,0.015863296835465945,1.0962084346903056,0.07680557479494898,1.1549230019729277,0.01809100751232684,1.164962175807552,0.00805183367770268,1.167925443802814,0.005088565682440649
161.01_10,161.01,161.01,1.5709889842154725,122.21707720506936,-0.093,1019.88496,0.752,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.0820294,3.270845252212749,0.878898877562823,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.3030109250355466,0.2679780591799259,1.5072736472876258,0.0637153369278467,1.511515476109325,0.05947350810614749,1.485325797034252,0.08566318718122057,1.5198749820293476,0.05111400218612494,1.5060463046485424,0.06494267956693012,1.49772763865682,0.0732613455586526,1.4092929665160896,0.1616960176993829
164.01_10,164.01,164.01,1.4179641588165113,160.48483099578448,-0.005,1063.28432,0.7839999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,3.2176818,4.562557466876197,0.8455953727853107,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.4483578847102119,-0.030393725893700596,1.7570236825406371,-0.33905952372412584,1.75024353236365,-0.33227937354713877,1.6445231764529282,-0.22655901763641695,1.7373701941249333,-0.31940603530842204,1.402369252224292,0.015594906592219182,1.3663373081095171,0.05162685070699413,1.5131014454342,-0.09513728661768872
165.01_10,165.01,165.01,1.2599022384263956,103.58496549932198,-0.003,1078.20285,0.7949999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.249222669999999,2.833800676652393,-0.4554335877871313,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,40<=LD<70,1.2322432284636566,0.027659009962738956,1.3453055743023932,-0.08540333587599758,1.352062466059182,-0.09216022763278642,1.3652067536585661,-0.10530451523217055,1.3756020232913,-0.1156997848649044,1.2405293554155596,0.01937288301083595,1.2276145932923752,0.03228764513402038,1.3244460599402919,-0.06454382151389626
167.01_10,167.01,167.01,1.6341172023090649,138.8357821756768,-0.113,1084.984,0.7999999999999999,66.84491978609627,False,B_main_x>-0.20,False,False,True,True,True,False,2.4290343,3.9693267346287575,0.6092953485434356,収束 (|dq_ratio|<1%)  (f_solver=0),-0.20<x<=-0.10,40<=LD<70,1.3661313855260735,0.2679858167829914,1.6294329579710756,0.004684244337989307,1.6295469675252838,0.004570234783781046,1.566356044879973,0.06776115742909194,1.625708878363235,0.00840832394582991,1.594139688709763,0.039977513599301906,1.5818085603983743,0.05230864191069062,1.6371047403304129,-0.0029875380213479907
169.01_10,169.01,169.01,2.165236999903537,299.93981302215946,-0.359,1213.82585,0.8949999999999999,66.84491978609627,False,B_deep_x<=-0.20,False,True,True,True,False,False,4.605701399999999,9.97243508178752,0.2271881555465867,収束 (|dq_ratio|<1%)  (f_solver=0),x<=-0.20,40<=LD<70,1.9780298837481234,0.18720711615541363,1.7234506338935303,0.44178636601000676,1.7283809333776785,0.4368560665258585,1.8149739812635914,0.3502630186399456,2.061627266877227,0.10360973302630994,2.2316086692559365,-0.06637166935239946,2.229712468774039,-0.06447546887050182,2.161099787559402,0.0041372123441352215
17.01_10,17.01,17.01,1.1431267000030425,75.46157701295215,-0.026,3146.4536,2.32,80.0,True,B_main_x>-0.20,False,False,True,True,True,True,3.9432375,4.507620070703247,-0.1959385118490891,収束 (|dq_ratio|<1%)  (f_solver=0),-0.10<x<=0,80<=LD<120,1.125426166908423,0.017700533094619608,1.050762102100783,0.0923645979022596,1.0550554938220482,0.08807120618099429,1.1016454790496075,0.04148122095343498,1.0396135679616512,0.10351313204139134,1.1140242673207372,0.02910243268230528,1.1260850359527212,0.01704166405032126,1.1244785030870235,0.018648196916019044
170.01_10,170.01,170.01,2.029447535550055,280.20066140208166,-0.285,1216.53831,0.8969999999999999,66.84491978609627,False,B_deep_x<=-0.20,False,True,True,True,False,False,4.605701399999999,9.347029355709438,0.6614238101155622,収束 (|dq_ratio|<1%)  (f_solver=0),x<=-0.20,40<=LD<70,1.9030574751184939,0.1263900604315613,1.8181817953431314,0.2112657402069238,1.807414937897095,0.22203259765296024,1.807233025573869,0.2222145099761863,2.040120943307326,-0.01067340775727077,2.070538160434998,-0.04109062488494297,2.0584414860636686,-0.02899395051361342,2.157872874789458,-0.1284253392394028
