ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
85,8-31,ANL_Table_I_D0p304,0.304,18.0,0.685,68.5,0.485,98.5,,MATCH_EXACT,316.09,0.214,
86,8-32,ANL_Table_I_D0p304,0.304,18.0,0.696,42.5,0.431,104.5,,MATCH_EXACT,321.09,0.225,
87,8-33,ANL_Table_I_D0p304,0.304,18.0,0.656,10.0,0.386,129.0,,MATCH_EXACT,309.09,0.279,
88,7-17,ANL_Table_I_D0p304,0.304,18.0,0.512,556.0,1.14,-26.5,,MATCH_EXACT,304.09,-0.062,
89,7-18,ANL_Table_I_D0p304,0.304,18.0,0.541,524.0,1.0,-85.0,,MATCH_EXACT,307.09,-0.186,
90,7-19,ANL_Table_I_D0p304,0.304,18.0,0.511,391.0,0.86,6.0,,MATCH_EXACT,302.09,0.016,
91,7-20,ANL_Table_I_D0p304,0.304,18.0,0.495,266.0,0.685,62.5,,MATCH_EXACT,297.09,0.133,
92,7-21,ANL_Table_I_D0p304,0.304,18.0,0.545,565.0,1.1,-84.5,,MATCH_EXACT,308.09,-0.188,
93,7-22,ANL_Table_I_D0p304,0.304,18.0,0.52,554.0,1.08,-62.5,,MATCH_EXACT,305.09,-0.134,
94,7-23,ANL_Table_I_D0p304,0.304,18.0,0.491,460.0,0.975,9.0,,MATCH_EXACT,294.09,0.022,
95,7-24,ANL_Table_I_D0p304,0.304,18.0,0.5,391.0,0.86,14.0,,MATCH_EXACT,299.09,0.035,
96,7-25,ANL_Table_I_D0p304,0.304,18.0,0.485,273.0,0.715,77.0,,MATCH_EXACT,293.09,0.164,
97,7-26,ANL_Table_I_D0p304,0.304,18.0,0.491,147.0,0.55,117.0,,MATCH_EXACT,295.09,0.255,
98,7-27,ANL_Table_I_D0p304,0.304,18.0,0.511,94.0,0.488,130.0,,MATCH_EXACT,303.09,0.285,
99,7-28,ANL_Table_I_D0p304,0.304,18.0,0.496,66.0,0.435,142.5,,MATCH_EXACT,298.09,0.306,
100,7-29,ANL_Table_I_D0p304,0.304,18.0,0.47,4.5,0.37,182.0,,MATCH_EXACT,291.09,0.393,
101,8-10,ANL_Table_I_D0p304,0.304,18.0,0.508,538.0,1.0,-72.5,,MATCH_EXACT,301.09,-0.155,
102,8-12,ANL_Table_I_D0p304,0.304,18.0,0.52,295.0,0.715,31.5,,MATCH_EXACT,306.09,0.066,
103,8-13,ANL_Table_I_D0p304,0.304,18.0,0.5,192.0,0.572,78.0,,MATCH_EXACT,300.09,0.17,
104,8-14,ANL_Table_I_D0p304,0.304,18.0,0.491,105.0,0.484,127.5,,MATCH_EXACT,296.09,0.277,
105,8-15,ANL_Table_I_D0p304,0.304,18.0,0.48,71.5,0.43,140.5,,MATCH_EXACT,292.09,0.304,
106,8-16,ANL_Table_I_D0p304,0.304,18.0,0.466,20.0,0.37,167.0,,MATCH_EXACT,290.09,0.363,
107,18-1,ANL_Table_II_D0p436,0.436,18.0,1.55,514.0,1.26,-380.0,Runs 18-1..4: effect of surface condition,MATCH_EXACT,649.09,-0.82,J
108,18-2,ANL_Table_II_D0p436,0.436,18.0,1.51,401.0,1.13,-277.5,Runs 18-1..4: effect of surface condition,MATCH_EXACT,644.09,-0.599,J
109,18-3,ANL_Table_II_D0p436,0.436,18.0,1.53,237.0,1.04,-126.0,Runs 18-1..4: effect of surface condition,MATCH_EXACT,648.09,-0.269,J
110,18-4,ANL_Table_II_D0p436,0.436,18.0,1.47,149.0,0.954,-42.0,Runs 18-1..4: effect of surface condition,MATCH_EXACT,633.09,-0.09,J
111,18-5,ANL_Table_II_D0p436,0.436,18.0,1.47,98.0,0.838,-4.5,,MATCH_EXACT,634.09,-0.008,J
112,18-6,ANL_Table_II_D0p436,0.436,18.0,1.47,77.0,0.741,6.0,,MATCH_EXACT,635.09,0.013,J
113,18-7,ANL_Table_II_D0p436,0.436,18.0,1.45,61.5,0.639,10.5,,MATCH_EXACT,632.09,0.024,J
114,18-8,ANL_Table_II_D0p436,0.436,18.0,1.35,26.5,0.559,41.0,,MATCH_EXACT,626.09,0.09,J
115,18-18,ANL_Table_II_D0p436,0.436,18.0,1.42,250.0,1.24,-106.0,,MATCH_EXACT,628.09,-0.228,J
116,18-19,ANL_Table_II_D0p436,0.436,18.0,1.44,197.0,1.14,-67.0,,MATCH_EXACT,629.09,-0.143,J
117,18-20,ANL_Table_II_D0p436,0.436,18.0,1.48,145.0,0.997,-34.0,,MATCH_EXACT,638.09,-0.073,J
118,18-21,ANL_Table_II_D0p436,0.436,18.0,1.47,120.0,0.897,-20.0,,MATCH_EXACT,636.09,-0.042,J
