sheet,target_kind,data_row_index,excel_row_if_header1,Bundle,No,nearest_master_case_label,z_DNB_over_L_current,master_z_DNB_ratio,mapping_abs_dz,legacy_column_name_expected,linear_column_name_in_v2b,original_value,replace_value,value_delta,value_ratio,mapping_status,replace_action,do_not_edit_original
tm_F1_161,F1,2,3,161,269,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,3,4,161,270,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,4,5,161,271,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,5,6,161,272,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,6,7,161,273,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,7,8,161,274,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,8,9,161,275,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,9,10,161,276,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,10,11,161,277,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
tm_F1_161,F1,11,12,161,278,161_uniform,0.997070541363956,0.997024,4.65413639558765e-05,F_form,Fform_linear,1,1,0,1,mapped,replace_legacy_F_form_with_Fform_linear_in_macro_copy_only,1
