ExptNo,Dia_in,Length_in,G_1e6_lb_hr_ft2,InletSubcool_BTUlb,BurnoutHF_1e6_BTU_hr_ft2,ExitQuality,flag,flag_norm,source,L_over_D,G_kg_m2_s,quality_bin,G_band_kg,G_band_raw,lowX_le_005,x_gt_005,x_pos_gt_005,flow_proxy_comment
125.01,0.186,12.0,1.13,67.0,0.628,0.165,,none,source01,64.51612903225806,1532.0742816144823,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
127.01,0.186,12.0,1.58,52.7,0.698,0.132,,none,source01,64.51612903225806,2142.1923583636126,0.05<x<=0.15,1900<=G<=4200,1.0<=G<1.6,False,True,True,x>0.05 mid/high G: transition check candidate
130.01,0.186,12.0,2.035,94.3,0.933,0.052,,none,source01,64.51612903225806,2759.0895248544,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
143.01,0.186,12.0,2.64,61.4,1.01,0.081,,none,source01,64.51612903225806,3579.3593835948973,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
151.01,0.187,12.5,0.415,345.5,0.686,0.208,,none,source01,66.84491978609626,562.6644485575312,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
153.01,0.187,12.5,0.55,150.9,0.385,0.078,,none,source01,66.84491978609626,745.6998715822702,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
155.01,0.187,12.5,0.616,55.8,0.573,0.422,H,H,source01,66.84491978609626,835.1838561721427,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
156.01,0.187,12.5,0.628,151.9,0.492,0.124,,none,source01,66.84491978609626,851.4536715521194,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
157.01,0.187,12.5,0.656,90.3,0.636,0.365,,none,source01,66.84491978609626,889.4165741053987,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
158.01,0.187,12.5,0.666,156.7,0.523,0.115,,none,source01,66.84491978609626,902.9747535887127,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
159.01,0.187,12.5,0.692,89.7,0.575,0.286,,none,source01,66.84491978609626,938.226020245329,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
160.01,0.187,12.5,0.718,123.7,0.51,0.143,,none,source01,66.84491978609626,973.4772869019455,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
162.01,0.187,12.5,0.77,57.3,0.533,0.276,,none,source01,66.84491978609626,1043.9798202151783,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
163.01,0.187,12.5,0.783,173.6,0.607,0.073,,none,source01,66.84491978609626,1061.6054535434866,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
166.01,0.187,12.5,0.795,178.4,0.94,0.297,,none,source01,66.84491978609626,1077.8752689234634,0.15<x<=0.5,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
168.01,0.187,12.5,0.8,184.3,0.632,0.058,,none,source01,66.84491978609626,1084.6543586651203,0.05<x<=0.15,G<1900,G<1.0,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
172.01,0.187,12.5,1.03,125.7,0.733,0.139,,none,source01,66.84491978609626,1396.4924867813424,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
173.01,0.187,12.5,1.03,18.6,0.658,0.328,,none,source01,66.84491978609626,1396.4924867813424,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
174.01,0.187,12.5,1.07,58.6,0.743,0.274,,none,source01,66.84491978609626,1450.7252047145985,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
175.01,0.187,12.5,1.08,89.7,0.752,0.208,,none,source01,66.84491978609626,1464.2833841979125,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
176.01,0.187,12.5,1.13,186.6,1.15,0.185,,none,source01,66.84491978609626,1532.0742816144823,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
177.01,0.187,12.5,1.13,91.6,0.823,0.223,,none,source01,66.84491978609626,1532.0742816144823,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
178.01,0.187,12.5,1.14,58.6,0.692,0.224,,none,source01,66.84491978609626,1545.6324610977963,0.15<x<=0.5,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
179.01,0.187,12.5,1.21,183.1,0.985,0.075,,none,source01,66.84491978609626,1640.5397174809946,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
181.01,0.187,12.5,1.26,151.9,0.903,0.086,,none,source01,66.84491978609626,1708.3306148975646,0.05<x<=0.15,G<1900,1.0<=G<1.6,False,True,True,x>0.05 but low G: not automatically annular; keep as possible bubbly/slug-side check
189.01,0.187,12.5,1.83,16.9,0.709,0.187,,none,source01,66.84491978609626,2481.146845446463,0.15<x<=0.5,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
190.01,0.187,12.5,1.88,18.6,0.743,0.188,,none,source01,66.84491978609626,2548.937742863033,0.15<x<=0.5,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
191.01,0.187,12.5,1.99,57.3,0.85,0.123,,none,source01,66.84491978609626,2698.0777171794866,0.05<x<=0.15,1900<=G<=4200,1.6<=G<=3.0,False,True,True,x>0.05 mid/high G: transition check candidate
