dataset,y,x,model,N,R2,RMSE,coef
old86_noF1_x>0.05,PM,Tsub,poly1,39,0.9007216388124031,0.03251645268474755,0.010519509;0.14546547
old86_noF1_x>0.05,PM,Tsub,poly2,39,0.9474868234369103,0.023648848887787184,-0.00018237061;0.018617569;0.076420736
old86_noF1_x>0.05,PM,Tsub,poly3,39,0.9548680172633152,0.02192391289617971,6.6078782e-06;-0.00068250836;0.029157012;0.017498671
old86_noF1_x>0.05,PM,Tsub,log(PM) linear -> exp,39,0.6825675531709567,0.05814354668145326,0.0328139;-1.7400093
old86_noF1_x>0.05,PM,Tsub,sat_exp_grid,39,0.9526792640074728,0.022449238124315127,a=0.17050233;b=0.44919494;k=0.044193965;xmin=5.8532518
old86_noF1_x>0.05,PM,x,poly1,39,0.5045933607940831,0.07263681159859721,-3.8226041;0.64852433
old86_noF1_x>0.05,PM,x,poly2,39,0.5239342020850095,0.07120481329552408,28.498483;-9.1976076;0.88900362
old86_noF1_x>0.05,PM,x,poly3,39,0.5400022185575181,0.06999285840523178,-1174.4643;355.45999;-38.1867;1.7099986
old86_noF1_x>0.05,PM,x,log(PM) linear -> exp,39,0.5212677946112474,0.07140394116801431,-13.645018;-0.024555976
old86_noF1_x>0.05,PM,x,sat_exp_grid,39,0.5285774786686357,0.0708567166896381,a=0.50218837;b=-0.42322153;k=18.280499;xmin=0.052
old86_noF1_x>0.05,PM,G_kg_m2s,poly1,39,0.26569070014772644,0.08843320713695355,-0.00012492719;0.75508786
old86_noF1_x>0.05,PM,G_kg_m2s,poly2,39,0.2801782953538223,0.08755648739105097,7.3760617e-08;-0.00062346857;1.5837135
old86_noF1_x>0.05,PM,G_kg_m2s,poly3,39,0.3436362971687458,0.08360805866669722,6.7479259e-10;-6.8710688e-06;0.02296461;-24.833262
old86_noF1_x>0.05,PM,G_kg_m2s,log(PM) linear -> exp,39,0.24999073863620502,0.08937358406610534,-0.00035251731;0.033247103
old86_noF1_x>0.05,PM,G_kg_m2s,sat_exp_grid,39,0.2757882622837029,0.08782307535108344,a=0.422756;b=-0.24456567;k=0.00083390205;xmin=2752.68
old86_F1_all,PM,Tsub,poly1,86,0.3579631870054346,0.08145864067411324,0.0011856081;0.91335625
old86_F1_all,PM,Tsub,poly2,86,0.3968600295104907,0.07895256587135917,-5.4464133e-06;0.0021530692;0.8889398
