original_target_row,result_row_in_all_rev,No_TableNo,TableNo,ExptNo,Status,exclude_reason,P_Pa_input,P_MPa,G,DH_m,L_DNB_m_input,Tin_K,q_M_Wm2_input,q_M_MWm2_input,F_form_input,x_Mes_input,L_m_input,L_DNB_over_DH_input,L_over_DH_input,q_in_Wm2,q_in_MWm2,q_P_Wm2,q_P_MWm2,q_M_Wm2_result,q_M_MWm2_result,PM_noF1,dq_ratio_pct_result,Tsub_K,Tsub2,Fcorr,F_form_result,x_Mes_result,log_q_low,log_q_high,log_q_in,log_q_P,log_PM_ratio,log_dq_ratio_pct,log_message
266,266,131.01_10,10,131.01,OK,,13789514.586336,13.789514586336,2759.92805,0.004724399999999999,0.3048,533.1594969855714,4227150.6,4.2271506,1,-0.031,0.3048,64.51612903225808,64.51612903225808,4712257.766723633,4.712257766723633,4675761.904002515,4.675761904002514,4227150.6,4.2271506,1.1061261701919292,-0.7744878257475548,75.46157701295215,75.46157701295215,1,1,-0.031,4712212.371826172,4712303.161621094,4712257.766723633,4675761.904002515,1.1061261701919292,-0.7744878257475547,
267,267,132.01_10,10,132.01,OK,,13789514.586336,13.789514586336,2759.92805,0.004724399999999999,0.3048,532.5830000918723,4195604.699999999,4.1956047,1,-0.036,0.3048,64.51612903225808,64.51612903225808,4758083.915710449,4.758083915710449,4760205.618845129,4.760205618845129,4195604.699999999,4.1956047,1.134569617305732,0.04459154508970796,76.03807390665122,76.03807390665122,1,1,-0.036,4758061.218261719,4758106.61315918,4758083.915710449,4760205.618845129,1.134569617305732,0.04459154508970795,
268,268,133.01_10,10,133.01,OK,,13789514.586336,13.789514586336,2766.7092,0.004724399999999999,0.3048,533.1594969855714,4223996.01,4.22399601,1,-0.032,0.3048,64.51612903225808,64.51612903225808,4722290.0390625,4.7222900390625,4711139.5467121145,4.711139546712114,4223996.01,4.22399601,1.1153276507740155,-0.23612468226536956,75.46157701295215,75.46157701295215,1,1,-0.032,4719384.765625,4725195.3125,4722290.0390625,4711139.5467121145,1.1153276507740155,-0.23612468226536956,
269,269,134.01_10,10,134.01,OK,,13789514.586336,13.789514586336,2780.2715,0.004724399999999999,0.3048,533.1594969855714,4192450.109999999,4.192450109999999,1,-0.037,0.3048,64.51612903225808,64.51612903225808,4742309.188842773,4.742309188842773,4704844.708077324,4.7048447080773235,4192450.109999999,4.192450109999999,1.122218412773748,-0.7900050223125996,75.46157701295215,75.46157701295215,1,1,-0.037,4742263.7939453125,4742354.583740234,4742309.188842773,4704844.708077324,1.122218412773748,-0.7900050223125996,
270,270,135.01_10,10,135.01,OK,,13789514.586336,13.789514586336,2793.8338,0.004724399999999999,0.3048,534.8366945514932,4126203.719999999,4.126203719999999,1,-0.037,0.3048,64.51612903225808,64.51612903225808,4627505.4931640625,4.627505493164063,4589272.851883431,4.589272851883431,4126203.719999999,4.126203719999999,1.1122264345889912,-0.8262041252486968,73.78437944703035,73.78437944703035,1,1,-0.037,4627142.333984375,4627868.65234375,4627505.4931640625,4589272.851883431,1.1122264345889912,-0.8262041252486968,
271,271,136.01_10,10,136.01,OK,,13789514.586336,13.789514586336,2793.8338,0.004724399999999999,0.3048,533.1594969855714,4189295.52,4.18929552,1,-0.039,0.3048,64.51612903225808,64.51612903225808,4762328.338623047,4.762328338623047,4736499.195455786,4.736499195455786,4189295.52,4.18929552,1.1306194974413708,-0.5423637626533144,75.46157701295215,75.46157701295215,1,1,-0.039,4762237.548828125,4762419.128417969,4762328.338623047,4736499.195455786,1.1306194974413708,-0.5423637626533144,
272,272,137.01_10,10,137.01,OK,,13789514.586336,13.789514586336,2797.90249,0.004724399999999999,0.3048,531.5241795946998,4312324.529999999,4.31232453,1,-0.036,0.3048,64.51612903225808,64.51612903225808,4900056.457519531,4.900056457519531,4926535.894428173,4.926535894428173,4312324.529999999,4.31232453,1.142431618992315,0.5403904452571562,77.09689440382374,77.09689440382374,1,1,-0.036,4899874.8779296875,4900238.037109375,4900056.457519531,4926535.894428173,1.142431618992315,0.5403904452571562,
273,273,138.01_10,10,138.01,OK,,13789514.586336,13.789514586336,2797.90249,0.004724399999999999,0.3048,533.1594969855714,4258696.5,4.2586965,1,-0.033,0.3048,64.51612903225808,64.51612903225808,4768320.465087891,4.768320465087891,4721912.618629366,4.721912618629366,4258696.5,4.2586965,1.1087694600048081,-0.9732535134395391,75.46157701295215,75.46157701295215,1,1,-0.033,4768229.675292969,4768411.2548828125,4768320.465087891,4721912.618629366,1.1087694600048081,-0.973253513439539,
274,274,139.01_10,10,139.01,OK,,13789514.586336,13.789514586336,2820.9584,0.004724399999999999,0.3048,532.0538974663252,4283933.22,4.28393322,1,-0.039,0.3048,64.51612903225808,64.51612903225808,4892066.955566406,4.892066955566406,4856011.991118581,4.856011991118581,4283933.22,4.28393322,1.1335405436405428,-0.737008809881482,76.56717653219835,76.56717653219835,1,1,-0.039,4891885.3759765625,4892248.53515625,4892066.955566406,4856011.991118581,1.1335405436405428,-0.7370088098814819,
275,275,14.01_10,10,14.01,OK,,13789514.586336,13.789514586336,3119.329,0.001905,0.1524,492.5448548915842,5520532.5,5.5205325,1,-0.048,0.1524,80.0,80.0,7448798.370361328,7.448798370361328,7464224.721598494,7.464224721598494,5520532.5,5.5205325,1.3520841914432156,0.20709852072982662,116.07621910693939,116.07621910693939,1,1,-0.048,7448707.580566406,7448889.16015625,7448798.370361328,7464224.721598494,1.3520841914432156,0.2070985207298266,
276,276,140.01_10,10,140.01,OK,,13789514.586336,13.789514586336,2834.5207,0.004724399999999999,0.3048,530.9456081229885,4290242.4,4.2902424,1,-0.045,0.3048,64.51612903225808,64.51612903225808,5002921.295166016,5.002921295166016,5003094.324687893,5.0030943246878925,4290242.4,4.2902424,1.1661565613840124,0.0034585697369281586,77.67546587553511,77.67546587553511,1,1,-0.045,5002830.505371094,5003012.0849609375,5002921.295166016,5003094.324687893,1.1661565613840124,0.0034585697369281586,
277,277,141.01_10,10,141.01,OK,,13789514.586336,13.789514586336,3417.6996,0.004724399999999999,0.3048,479.8017497692331,6214542.3,6.2145423,1,-0.191,0.3048,64.51612903225808,64.51612903225808,10939030.456542969,10.93903045654297,10973340.775941076,10.973340775941075,6214542.3,6.2145423,1.7657520451572235,0.3136504604718872,128.8193242292905,128.8193242292905,1,1,-0.191,10938848.876953125,10939212.036132812,10939030.456542969,10973340.775941076,1.7657520451572235,0.3136504604718872,
278,278,142.01_10,10,142.01,OK,,13789514.586336,13.789514586336,3451.60535,0.004724399999999999,0.3048,535.4102604718073,4731885,4.731885,1,-0.059,0.3048,64.51612903225808,64.51612903225808,5491869.735717773,5.491869735717773,5490002.81618919,5.4900028161891905,4731885,4.731885,1.1602147592744096,-0.03399424273378296,73.21081352671627,73.21081352671627,1,1,-0.059,5491824.3408203125,5491915.130615234,5491869.735717773,5490002.81618919,1.1602147592744096,-0.03399424273378296,
