No_TableNo,P,Ts,rhoG,rhoL,HG,HL,muG,muL,KL,CPL,sigma,No,G,A,Pw,DH,L_DNB,q_in,Tin,Tf,f(beta),Re,f,f_left,f_rihgt,f_balance,DB,Tw,y_plus,Tm,Tw_balance,y_star,tauw,Utau,y_plus2,Q,Pr,T(y_plus),y_star_balance,delta,UB,LB,YB,YB_plus,Karman_UB,UBL,UB_left,CD,UB_right,UB_balance,HG-HL,LB/UB,q_P,dq_chf,dq_ratio,q_M,PM_ratio,F_form,x_Mes,A_corr,σ_corr,Fcorr,Tsub,q_P_MW,Tsub2,Fcorr2,(Tsub-40)^2,F2,L,_source,_table,_origin,_source_ExptNo,_flag_norm,_Hsub_kJkg,_L_over_D,_G_band2,_x_band2
359.09_10_source09,13789520,,,,,,,,,,,359.09,1667.6560764476226,,,0.0077215999999999995,0.4572,5205074.7375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5205074.7375,,1,-0.234,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,359.09,none,990.876,59.21052631578947,G<1900,x<=-0.20
360.09_10_source09,13789520,,,,,,,,,,,360.09,1667.6560764476226,,,0.0077215999999999995,0.4572,5173528.829999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5173528.829999999,,1,-0.242,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,360.09,none,995.528,59.21052631578947,G<1900,x<=-0.20
361.09_10_source09,13789520,,,,,,,,,,,361.09,1667.6560764476226,,,0.0077215999999999995,0.4572,4069422.0675000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069422.0675000004,,1,-0.133,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,361.09,none,721.0600000000001,59.21052631578947,G<1900,-0.20<x<=-0.10
362.09_10_source09,13789520,,,,,,,,,,,362.09,1667.6560764476226,,,0.0077215999999999995,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.079,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,362.09,none,595.456,59.21052631578947,G<1900,-0.10<x<=0
363.09_10_source09,13789520,,,,,,,,,,,363.09,1681.2142559309366,,,0.0077215999999999995,0.4572,2649856.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649856.23,,1,0.02,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,363.09,none,351.226,59.21052631578947,G<1900,0<x<=0.05
365.09_10_source09,13789520,,,,,,,,,,,365.09,1681.2142559309366,,,0.0077215999999999995,0.4572,3154590.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3154590.75,,1,-0.035,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,365.09,none,481.482,59.21052631578947,G<1900,-0.10<x<=0
366.09_10_source09,13789520,,,,,,,,,,,366.09,1681.2142559309366,,,0.0077215999999999995,0.4572,2649856.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649856.23,,1,0.02,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,366.09,none,351.226,59.21052631578947,G<1900,0<x<=0.05
368.09_10_source09,13789520,,,,,,,,,,,368.09,1694.7724354142506,,,0.0077215999999999995,0.4572,3091498.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091498.935,,1,-0.024,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,368.09,none,458.22200000000004,59.21052631578947,G<1900,-0.10<x<=0
369.09_10_source09,13789520,,,,,,,,,,,369.09,1735.4469738641926,,,0.0077215999999999995,0.4572,3627779.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3627779.3625,,1,-0.082,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,369.09,none,583.826,59.21052631578947,G<1900,-0.10<x<=0
370.09_10_source09,13789520,,,,,,,,,,,370.09,1979.4942045638445,,,0.0077215999999999995,0.4572,3123044.8425000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3123044.8425000003,,1,-0.014,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,370.09,none,388.442,59.21052631578947,1900<=G<=4200,-0.10<x<=0
372.09_10_source09,13789520,,,,,,,,,,,372.09,1993.0523840471585,,,0.0077215999999999995,0.4572,5141982.922499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141982.922499999,,1,-0.236,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,372.09,none,865.272,59.21052631578947,1900<=G<=4200,x<=-0.20
373.09_10_source09,13789520,,,,,,,,,,,373.09,2006.6105635304723,,,0.0077215999999999995,0.4572,5110437.015000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5110437.015000001,,1,-0.226,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,373.09,none,846.664,59.21052631578947,1900<=G<=4200,x<=-0.20
374.09_10_source09,13789520,,,,,,,,,,,374.09,2006.6105635304723,,,0.0077215999999999995,0.4572,3596233.4549999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596233.4549999996,,1,-0.068,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,374.09,none,497.764,59.21052631578947,1900<=G<=4200,-0.10<x<=0
376.09_10_source09,13789520,,,,,,,,,,,376.09,2020.1687430137863,,,0.0077215999999999995,0.4572,4006330.2525000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006330.2525000004,,1,-0.1,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,376.09,none,576.8480000000001,59.21052631578947,1900<=G<=4200,-0.20<x<=-0.10
377.09_10_source09,13789520,,,,,,,,,,,377.09,2033.7269224971003,,,0.0077215999999999995,0.4572,4511064.7725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511064.7725,,1,-0.149,,,1,,,,,,1,0.4572,source09,Table10,Weatherhead/ANL,377.09,none,686.1700000000001,59.21052631578947,1900<=G<=4200,-0.20<x<=-0.10
