row_No_M,key,TableNo,ExptNo,tmA_No_TableNo,tmB_P_Pa,tmN_G_kg_m2s,tmQ_DH_m,tmR_L_DNB_m,tmBR_L_m,tmT_Tin_K,tmBE_qM_W_m2,tmBH_x_Mes,seed_tmS_q_in_W_m2,seed_tmX_f,seed_tmAC_Tw,seed_tmAG_y_star,seed_tmAP_UB,const_tmV_fbeta,const_tmBG_Fform,const_tmBI_Acorr,const_tmBJ_sigcorr,const_tmBK_Fcorr,const_tmBQ_F2,QA_Pressure_MPa,QA_Hsub_kJ_kg,QA_Tsat_K_IF97,QA_hf_sat_kJ_kg,QA_h_in_kJ_kg,QA_Tsub_K,QA_IF97_region,QA_Tin_lt_Tsat,prov_D_mm,prov_L_mm,prov_qCHF_MW_m2
35,T10_12.01,10,12.01,12.01_10,13789514.586336,3119.3289999999997,0.0019049999999999998,0.15239999999999998,0.15239999999999998,459.19505297445465,6687730.8,-0.075,6687730.8,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,766.417,608.6241187356576,1562.6001257440564,796.1831257440564,149.42906576120293,1,True,1.9049999999999998,152.39999999999998,6.6877308
36,T10_121.01,10,121.01,121.01_10,13789514.586336,1413.19166,0.004724399999999999,0.30479999999999996,0.30479999999999996,480.8967782903362,3359638.3499999996,-0.053,3359638.3499999996,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,670.5858000000001,608.6241187356576,1562.6001257440564,892.0143257440564,127.72734044532137,1,True,4.724399999999999,304.79999999999995,3.3596383499999996
37,T10_126.01,10,126.01,126.01_10,13789514.586336,2075.0319,0.004724399999999999,0.30479999999999996,0.30479999999999996,481.99051263246713,4211377.649999999,-0.132,4211377.649999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,665.7012,608.6241187356576,1562.6001257440564,896.8989257440564,126.63360610319046,1,True,4.724399999999999,304.79999999999995,4.211377649999999
38,T10_128.01,10,128.01,128.01_10,13789514.586336,2156.4057000000003,0.004724399999999999,0.30479999999999996,0.30479999999999996,533.1594969855714,3501594.9000000004,-0.009,3501594.9000000004,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.724399999999999,304.79999999999995,3.5015949
39,T10_129.01,10,129.01,129.01_10,13789514.586336,2739.5846,0.004724399999999999,0.30479999999999996,0.30479999999999996,483.65463250640784,5173527.599999999,-0.159,5173527.599999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,658.258,608.6241187356576,1562.6001257440564,904.3421257440564,124.96948622924975,1,True,4.724399999999999,304.79999999999995,5.173527599999999
40,T10_13.01,10,13.01,13.01_10,13789514.586336,3119.3289999999997,0.0019049999999999998,0.15239999999999998,0.15239999999999998,491.97913985754076,5678262.0,-0.036,5678262.0,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,620.8094,608.6241187356576,1562.6001257440564,941.7907257440564,116.64497887811683,1,True,1.9049999999999998,152.39999999999998,5.678262
41,T10_131.01,10,131.01,131.01_10,13789514.586336,2759.9280500000004,0.004724399999999999,0.30479999999999996,0.30479999999999996,533.1594969855714,4227150.6,-0.031,4227150.6,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.724399999999999,304.79999999999995,4.2271506
42,T10_132.01,10,132.01,132.01_10,13789514.586336,2759.9280500000004,0.004724399999999999,0.30479999999999996,0.30479999999999996,532.5830000918723,4195604.699999999,-0.036,4195604.699999999,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,431.473,608.6241187356576,1562.6001257440564,1131.1271257440565,76.04111864378524,1,True,4.724399999999999,304.79999999999995,4.1956047
43,T10_133.01,10,133.01,133.01_10,13789514.586336,2766.7092000000002,0.004724399999999999,0.30479999999999996,0.30479999999999996,533.1594969855714,4223996.01,-0.032,4223996.01,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.724399999999999,304.79999999999995,4.22399601
44,T10_134.01,10,134.01,134.01_10,13789514.586336,2780.2715,0.004724399999999999,0.30479999999999996,0.30479999999999996,533.1594969855714,4192450.1099999994,-0.037,4192450.1099999994,0.01,600.0,1e-05,1.0,0.03,1,0.046,5625,1,1,13.789514586336,428.68180000000007,608.6241187356576,1562.6001257440564,1133.9183257440563,75.46462175008617,1,True,4.724399999999999,304.79999999999995,4.192450109999999
